city_name,date,pm10
Sangli,1/19/2013,116
Akola,1/2/2010,92
Navi Mumbai,1/2/2010,192
Jalgaon,1/2/2010,118
Chandrapur,1/2/2010,66
Nashik,1/2/2010,110
Raigad,1/2/2010,121
Amravati,1/2/2010,137
Latur,1/2/2010,72
Nagpur,1/2/2010,136.5
Panvel,1/2/2010,70
Kolhapur,1/2/2010,86
Pune,1/2/2010,121
Mumbai,1/2/2010,211
Mumbai Metro,1/2/2010,157.6667
Dahanu,1/2/2010,66
Sangli,1/2/2010,118
Aurangabad,1/2/2010,133
Mumbai,1/2/2011,177.5
Thane,1/2/2011,55
Sangli,1/2/2011,96
Taloja,1/2/2011,126
Ulhasnagar,1/2/2011,117
Pune,1/2/2011,176
Dahanu,1/2/2011,124
Navi Mumbai,1/2/2011,163
Chandrapur,1/2/2011,124
Solapur,1/2/2011,126
Mumbai Metro,1/2/2011,127.7
Raigad,1/2/2011,176
Chandrapur,1/2/2012,65
Mumbai,1/2/2012,208
Amravati,1/2/2012,56
Akola,1/2/2012,108
Mumbai Metro,1/2/2012,138.4667
Jalgaon,1/2/2012,118
